"Run","Graph","Vertices","Edges","Density","Total Time","Order",
1,1.txt,76,303,0.10631578947368421,1468 ms,LowerBound[641 ms][chrom: 11],UpperBound[1 ms][chrom: 53],Cycle[1 ms][is: false],Tree[1 ms][is: false],Bipartite[2 ms][is: false],Greedy[613 ms][chrom: 11],DSatur[61 ms][chrom: 11],OrderedGreedy[2 ms][chrom: 11],LowerBoundGreedy[146 ms][chrom: 11],
2,2.txt,61,1390,0.7595628415300546,2143 ms,LowerBound[92 ms][chrom: 14],UpperBound[2 ms][chrom: 53],Cycle[2 ms][is: false],Tree[0 ms][is: false],Bipartite[0 ms][is: false],Greedy[1875 ms][chrom: 21],DSatur[64 ms][chrom: 22],OrderedGreedy[6 ms][chrom: 22],LowerBoundGreedy[102 ms][chrom: 21],
3,3.txt,18,46,0.3006535947712418,40 ms,LowerBound[7 ms][chrom: 3],UpperBound[0 ms][chrom: 7],Cycle[1 ms][is: false],Tree[0 ms][is: false],Bipartite[0 ms][is: false],Greedy[18 ms][chrom: 4],DSatur[4 ms][chrom: 4],OrderedGreedy[2 ms][chrom: 4],LowerBoundGreedy[8 ms][chrom: 5],
4,4.txt,11,16,0.2909090909090909,11 ms,LowerBound[3 ms][chrom: 2],UpperBound[0 ms][chrom: 4],Cycle[0 ms][is: false],Tree[0 ms][is: false],Bipartite[0 ms][is: false],Greedy[3 ms][chrom: 3],DSatur[1 ms][chrom: 3],OrderedGreedy[1 ms][chrom: 3],LowerBoundGreedy[3 ms][chrom: 3],
5,5.txt,93,92,0.021505376344086023,783 ms,LowerBound[170 ms][chrom: 2],UpperBound[1 ms][chrom: 4],Cycle[1 ms][is: false],Tree[0 ms][is: false],Bipartite[189 ms][is: false],Greedy[171 ms][chrom: 3],DSatur[84 ms][chrom: 2],OrderedGreedy[2 ms][chrom: 3],LowerBoundGreedy[165 ms][chrom: 3],
6,6.txt,69,409,0.17433930093776642,758 ms,LowerBound[99 ms][chrom: 3],UpperBound[0 ms][chrom: 13],Cycle[1 ms][is: false],Tree[0 ms][is: false],Bipartite[0 ms][is: false],Greedy[514 ms][chrom: 6],DSatur[49 ms][chrom: 8],OrderedGreedy[2 ms][chrom: 8],LowerBoundGreedy[93 ms][chrom: 7],
7,7.txt,43,127,0.1406423034330011,192 ms,LowerBound[35 ms][chrom: 2],UpperBound[0 ms][chrom: 7],Cycle[0 ms][is: false],Tree[1 ms][is: false],Bipartite[1 ms][is: false],Greedy[98 ms][chrom: 4],DSatur[18 ms][chrom: 6],OrderedGreedy[1 ms][chrom: 5],LowerBoundGreedy[38 ms][chrom: 5],
8,8.txt,56,483,0.31363636363636366,649 ms,LowerBound[62 ms][chrom: 7],UpperBound[0 ms][chrom: 24],Cycle[0 ms][is: false],Tree[0 ms][is: false],Bipartite[1 ms][is: false],Greedy[490 ms][chrom: 9],DSatur[31 ms][chrom: 12],OrderedGreedy[2 ms][chrom: 12],LowerBoundGreedy[63 ms][chrom: 12],
9,9.txt,41,184,0.22439024390243903,237 ms,LowerBound[31 ms][chrom: 10],UpperBound[0 ms][chrom: 11],Cycle[0 ms][is: false],Tree[0 ms][is: false],Bipartite[0 ms][is: false],Greedy[146 ms][chrom: 10],DSatur[19 ms][chrom: 10],OrderedGreedy[1 ms][chrom: 10],LowerBoundGreedy[40 ms][chrom: 10],
10,10.txt,209,1249,0.057462274567537726,6904 ms,LowerBound[898 ms][chrom: 3],UpperBound[0 ms][chrom: 13],Cycle[0 ms][is: false],Tree[1 ms][is: false],Bipartite[0 ms][is: false],Greedy[4769 ms][chrom: 7],DSatur[406 ms][chrom: 8],OrderedGreedy[5 ms][chrom: 8],LowerBoundGreedy[825 ms][chrom: 8],
11,11.txt,191,3888,0.21427390465693028,16733 ms,LowerBound[706 ms][chrom: 31],UpperBound[1 ms][chrom: 156],Cycle[1 ms][is: false],Tree[1 ms][is: false],Bipartite[0 ms][is: false],Greedy[14930 ms][chrom: 31],DSatur[403 ms][chrom: 31],OrderedGreedy[6 ms][chrom: 31],LowerBoundGreedy[685 ms][chrom: 31],
12,12.txt,195,2365,0.12503304255881575,10046 ms,LowerBound[701 ms][chrom: 3],UpperBound[0 ms][chrom: 95],Cycle[1 ms][is: false],Tree[0 ms][is: false],Bipartite[1 ms][is: false],Greedy[8298 ms][chrom: 8],DSatur[364 ms][chrom: 8],OrderedGreedy[5 ms][chrom: 8],LowerBoundGreedy[676 ms][chrom: 8],
13,13.txt,61,448,0.2448087431693989,675 ms,LowerBound[71 ms][chrom: 2],UpperBound[0 ms][chrom: 21],Cycle[0 ms][is: false],Tree[0 ms][is: false],Bipartite[17 ms][is: true],Greedy[475 ms][chrom: 2],DSatur[33 ms][chrom: 2],OrderedGreedy[2 ms][chrom: 2],LowerBoundGreedy[77 ms][chrom: 2],
14,14.txt,31,385,0.8279569892473119,265 ms,LowerBound[20 ms][chrom: 15],UpperBound[0 ms][chrom: 29],Cycle[0 ms][is: false],Tree[1 ms][is: false],Bipartite[0 ms][is: false],Greedy[211 ms][chrom: 16],DSatur[13 ms][chrom: 16],OrderedGreedy[1 ms][chrom: 16],LowerBoundGreedy[19 ms][chrom: 16],
